ejecucion,repeticion,n,poblacion,tasa_mutacion,elitismo,max_generaciones,semilla,mejor_solucion,conflictos,generacion_mejor,generaciones_ejecutadas,tiempo_segundos,exito
n8_p50_m0.20_r06,6,8,50,0.2,2,500,2031,"[6, 2, 0, 5, 7, 4, 1, 3]",0,1,1,0.007939399998576846,True
n8_p50_m0.20_r07,7,8,50,0.2,2,500,2032,"[4, 1, 3, 6, 2, 7, 5, 0]",0,6,6,0.022777800000767456,True
n8_p50_m0.20_r08,8,8,50,0.2,2,500,2033,"[1, 4, 6, 3, 0, 7, 5, 2]",0,7,7,0.027758000000176253,True
n8_p50_m0.20_r09,9,8,50,0.2,2,500,2034,"[6, 2, 0, 5, 7, 4, 1, 3]",0,6,6,0.04234290000022156,True
n8_p50_m0.20_r10,10,8,50,0.2,2,500,2035,"[1, 3, 5, 7, 2, 0, 6, 4]",0,3,3,0.016209899997193133,True
n8_p100_m0.05_r01,1,8,100,0.05,2,500,2026,"[0, 4, 7, 5, 2, 6, 1, 3]",0,0,0,0.0025377999991178513,True
n8_p100_m0.05_r02,2,8,100,0.05,2,500,2027,"[7, 3, 0, 2, 5, 1, 6, 4]",0,4,4,0.053149800001847325,True
n8_p100_m0.05_r03,3,8,100,0.05,2,500,2028,"[2, 5, 1, 6, 4, 0, 7, 3]",0,0,0,0.002193000000261236,True
n8_p100_m0.05_r04,4,8,100,0.05,2,500,2029,"[4, 6, 1, 5, 2, 0, 7, 3]",0,2,2,0.016154199998709373,True
n8_p100_m0.05_r05,5,8,100,0.05,2,500,2030,"[5, 3, 6, 0, 2, 4, 1, 7]",0,2,2,0.015767299999424722,True
n8_p100_m0.05_r06,6,8,100,0.05,2,500,2031,"[6, 1, 3, 0, 7, 4, 2, 5]",0,2,2,0.019674799998028902,True
n8_p100_m0.05_r07,7,8,100,0.05,2,500,2032,"[1, 6, 2, 5, 7, 4, 0, 3]",0,1,1,0.00916990000041551,True
n8_p100_m0.05_r08,8,8,100,0.05,2,500,2033,"[1, 6, 2, 5, 7, 4, 0, 3]",0,3,3,0.02860020000298391,True
n8_p100_m0.05_r09,9,8,100,0.05,2,500,2034,"[6, 1, 5, 2, 0, 3, 7, 4]",0,3,3,0.0244323999977496,True
n8_p100_m0.05_r10,10,8,100,0.05,2,500,2035,"[4, 6, 1, 3, 7, 0, 2, 5]",0,3,3,0.02648870000120951,True
n8_p100_m0.10_r01,1,8,100,0.1,2,500,2026,"[0, 4, 7, 5, 2, 6, 1, 3]",0,0,0,0.002630200000567129,True
n8_p100_m0.10_r02,2,8,100,0.1,2,500,2027,"[2, 5, 3, 0, 7, 4, 6, 1]",0,4,4,0.03072519999841461,True
n8_p100_m0.10_r03,3,8,100,0.1,2,500,2028,"[2, 5, 1, 6, 4, 0, 7, 3]",0,0,0,0.002395999999862397,True
n8_p100_m0.10_r04,4,8,100,0.1,2,500,2029,"[2, 4, 6, 0, 3, 1, 7, 5]",0,10,10,0.09848229999988689,True
n8_p100_m0.10_r05,5,8,100,0.1,2,500,2030,"[5, 2, 6, 3, 0, 7, 1, 4]",0,6,6,0.07543450000230223,True
