generacion,distancia_generacion,mejor_distancia
180,329.31823027761055,329.31823027761055
181,329.31823027761055,329.31823027761055
182,329.31823027761055,329.31823027761055
183,329.31823027761055,329.31823027761055
184,329.31823027761055,329.31823027761055
185,329.31823027761055,329.31823027761055
186,329.31823027761055,329.31823027761055
187,329.31823027761055,329.31823027761055
188,329.31823027761055,329.31823027761055
189,329.31823027761055,329.31823027761055
190,329.31823027761055,329.31823027761055
191,329.31823027761055,329.31823027761055
192,329.31823027761055,329.31823027761055
193,329.31823027761055,329.31823027761055
194,329.31823027761055,329.31823027761055
195,329.31823027761055,329.31823027761055
196,329.31823027761055,329.31823027761055
197,329.31823027761055,329.31823027761055
198,329.31823027761055,329.31823027761055
199,329.31823027761055,329.31823027761055
200,329.31823027761055,329.31823027761055
201,329.31823027761055,329.31823027761055
202,329.31823027761055,329.31823027761055
203,329.31823027761055,329.31823027761055
204,329.31823027761055,329.31823027761055
205,329.31823027761055,329.31823027761055
206,329.31823027761055,329.31823027761055
207,329.31823027761055,329.31823027761055
208,329.31823027761055,329.31823027761055
209,329.31823027761055,329.31823027761055
210,329.31823027761055,329.31823027761055
211,329.31823027761055,329.31823027761055
212,329.31823027761055,329.31823027761055
213,329.31823027761055,329.31823027761055
214,329.31823027761055,329.31823027761055
215,329.31823027761055,329.31823027761055
216,329.31823027761055,329.31823027761055
217,329.31823027761055,329.31823027761055
218,329.31823027761055,329.31823027761055
219,329.31823027761055,329.31823027761055
220,329.31823027761055,329.31823027761055
221,329.31823027761055,329.31823027761055
222,329.31823027761055,329.31823027761055
223,329.31823027761055,329.31823027761055
224,329.31823027761055,329.31823027761055
225,329.31823027761055,329.31823027761055
226,329.31823027761055,329.31823027761055
227,329.31823027761055,329.31823027761055
228,329.31823027761055,329.31823027761055
229,329.31823027761055,329.31823027761055
230,329.31823027761055,329.31823027761055
231,329.31823027761055,329.31823027761055
232,329.31823027761055,329.31823027761055
233,329.31823027761055,329.31823027761055
234,329.31823027761055,329.31823027761055
235,329.31823027761055,329.31823027761055
236,329.31823027761055,329.31823027761055
237,329.31823027761055,329.31823027761055
238,329.31823027761055,329.31823027761055
239,329.31823027761055,329.31823027761055
240,329.31823027761055,329.31823027761055
241,329.31823027761055,329.31823027761055
242,329.31823027761055,329.31823027761055
243,329.31823027761055,329.31823027761055
